title,author,pub
"Highlights from Yank, the Army weekly.  Publication:  New York, Royal Books 1953   Document:  English :  Book   :  Fiction         Libraries Worldwide : 20   More Like This:  Advanced options ...   See more details for locating this item","Highlights from Yank, the Army weekly.  Publication:  New York, Royal Books 1953   Document:  English :  Book   :  Fiction         Libraries Worldwide : 20   More Like This:  Advanced options ...   See more details for locating this item","New York, Royal Books 1953"
Dave Dawson on Guadalcanal /,"Bowen, Robert Sidney, 1900-1977.","Akron, Ohio : Saalfield Pub. Co., 1943"
Take these men /,"Joly, Cyril.","Harmondsworth : Penguin Books, 1955"
Army of shadows.,"Kessel, Joseph, 1898-1979.; Chevalier, Haakon,","New York, A.A. Knopf, 1944"
Watching for Winkie /,"Smith, Theresa Kalab.","New York : Longmans, Green & Co., 1942"
Last chukker /,"Stanford, J. K. 1892-","London : Faber and Faber, 1951"
"Reluctant Odyssey; being the second volume of The eighth champion of Christendom,","Peters, Ellis, 1913-1995.; Peters, Ellis,","London, Toronto, W. Heinemann ltd 1946"
The Caine mutiny /,"Wouk, Herman, 1915-","London : Reprint Society, 1953"
The naked and the dead /,"Mailer, Norman.","New York : New American Library,  1951, 1948"
A walk in the sun.,"Brown, Harry, 1917-1986.; Skidmore, H. D.","New York, Knopf, 1944"
The Naked and the dead.,"Mailer, Norman.","Random, 1948"
The navigator;,"Roy, Jules, 1907-","[London] Turnstile Press, 1955"
The cruel sea /,"Monsarrat, Nicholas, 1910-1979.","London : Reprint Society, 1953"
Out of the dawn /,"Thwaites, Frederick J.","Sydney : Thwaites, 1945"
"Northbridge rectory, a novel","Thirkell, Angela, 1890-1961.","London, H. Hamilton  1955, 1941"
The cruel sea /,"Monsarrat, Nicholas, 1910-1979.","London : Reprint Society, 1953"
"Kitty Carter, canteen girl;","Radford, Ruby Lorraine, 1891-","Racine, Wis., Whitman Pub. Co. 1944"
Out of the dawn /,"Thwaites, Frederick J.","Sydney : Thwaites, 1945"
We've been waiting for you /,"Thornbury, Ethel, 1894-","Indianapolis ; New York : Bobbs-Merrill Co. Publishers, 1947"
Dangerous voyage /,"Vidal, Gore, 1925-2012.","New York : New American Library,  1953, 1946"
Proud waters.,"Brookes, Ewart, 1901-","London, New York, Jarrolds 1954"
I've got mine /,"Hubler, Richard Gibson, 1912-","New York : G.P. Putnam's Sons, 1946"
Far from the customary skies /,"Eyster, Warren, 1925-","London : Allan Wingate, 1953"
Call me Bronko /,"Eichelberger, Rosa Kohler.","New York : Scholastic Book Services, 1955"
The last secret /,"Chambers, Dana, 1895-1946.","New York : Dial Press,  1943, 1944"
Signed with their honour /,"Aldridge, James.","London : M. Joseph, 1942"
"Jet plane mystery,","Snell, Roy J. 1878-1959.","Chicago, Wilcox & Follett co. 1944"
The frontiers.,"Strachey, John, 1901-1963.","London, V. Gollancz, 1952"
Stranger in town /,"Hunt, E. Howard 1918-","New York : Random House, 1947"
We too can die : tales of the Chindits /,"Le Butt, Paul.","London : R. Anscombe, 1947"
The blood of others / Simone de Beauvoir ;,"Beauvoir, Simone de, 1908-1986.",New York : Bantam 1948
Snow treasure,"McSwigan, Marie, 1907-1962.; LaBlanc, Andr.","New York : Scholastic, 1942"
Last chukker /,"Stanford, J. K. 1892-","London : Faber and Faber, 1951"
Miss Maitland's spy : a novel /,"Birmingham, George A., 1865-1950.","London : Methuen, 1940"
No beautiful nights /,"Grossman, Vasilii Semenovich.; Donnelly, Elizabeth.; Lerman, Leo.","New York : Soviet Russia Today, 1944"
"The hour before the dawn, a novel.","Maugham, W. Somerset 1874-1965.","Philadelphia, Blakiston 1942"
Coral seas : a romance of 1942 /,"Fenwick, Kenneth, 1902-1961.","London ; New York : Hutchinson, 1943"
"The people immortal,","Grossman, Vasilii Semenovich.","Moscow, Foreign languages Pub. House, 1943"
"Until this day,","Graham, Burton.","Melbourne, Robertson & Mullens 1944"
"Roll back the sea,","Doolaard, A. den, 1901-1994.","London, Heinemann 1949"
"Dave Dawson with the Eighth air force,","Bowen, Robert Sidney, 1900-1977.","New York, Crown publishers 1944"
A Yank on Piccadilly.,"McDermott, C. L.","New York, Vantage Press 1951"
"The long alert, a novel","Gibbs, Philip, 1877-1962.","London, Melbourne, Hutchinson, 1941"
Fibre,"Sullivan, Barry Seaghan.","London, Faber and Faber 1946"
The man who missed the war : a novel /,"Wheatley, Dennis, 1897-1977.","London ; New York : Hutchinson, 1946"
Dave Dawson on the Russian front /,"Bowen, Robert Sidney, 1900-1977.","New York : Crown, 1943"
The cat in the convoy /,"Schofield, William G. 1909-","Philadelphia : Macrae-Smith Company, 1946"
Ann Bartlett returns to the Philippines /,"Johnson, Martha, 1911-","New York : Thomas Y. Crowell, 1945"
"Dave Dawson on Guadalcanal,","Bowen, Robert Sidney, 1900-1977.","New York, Crown Publishers 1943"
Russia's fighting men /,"Heisler, J. B.","London : New Europe Pub. Co., 1945"
Nurse's aide /,"Hancock, Lucy Agnes.","Philadelphia : Macrae-Smith, 1943"
The Caine mutiny /,"Wouk, Herman, 1915-","London : Reprint Society, 1953"
The unknown soldier : a novel /,"Linna, Vin.; Linna, Vin.","Porvoo : W. Sderstrm, 1954"
"Flying correspondent, a Seth Rantoul story","Felsen, Henry Gregor, 1916-; Ishmael, Woodi,","New York : E.P. Dutton and Co., 1947"
The cruel sea /,"Monsarrat, Nicholas, 1910-1979.","London : Cassell,  1953, 1951"
No such liberty /,"Comfort, Alex, 1920-2000.","London : Chapman & Hall, 1941"
The palms bend down.,"Sargent, Winston.","Christchurch, N.Z. 1940s"
Landfall : channel story /,"Shute, Nevil, 1899-1960.","London : Heinemann, 1940"
"The Merrivales, a novel,","Colver, Alice Ross, 1892-","Philadelphia, Macrae, 1943"
Face value /,"Walsh, J. M. 1897-1952.","London : Collins, 1944"
Dick Donnelly of the paratroops;,"McClintock, Marshall, 1906-","Racine, Wis., Whitman Pub. Co. 1944"
Nicodemus helps Uncle Sam /,"Hogan, Inez, 1895-","New York : E. P. Dutton and Co., 1943"
Larry and the undersea raider /,"Farley, Walter, 1915-1989.; Jackson, P. K.,","New York : Random House, 1942"
The problems of Lieutenant Knap,"Mucha, Jir, 1915-1991.; Osers, Ewald,","London, Hogarth Press, 1946"
The Carrington incident /,"Busch, Niven, 1903-1991.","New York : William Morrow and Co., 1941"
"Red rain,","Kark, Leslie, 1910-","London, Macmillan & Co. Ltd., 1945"
The forest guerillas : a story of the partisans of Lake Ilmen /,"Pavlenko, Petr Andreevich, 1899-1951.","London : G. Routledge, 1943"
A matter of duty /,"Cranston, Edward.","London : Longmans, Green, 1943"
Fathoms deep /,"Dawson, Michael.","New York : Sheridan House, 1943"
The people immortal : a novel /,"Grossman, Vasilii Semenovich.","London ; New York : Hutchinson International Authors,  1945, 1943"
"Dave Dawson with the commandos,","Bowen, Robert Sidney, 1900-1977.","New York, Crown Publishers, 1942"
"Dave Dawson with the Air corps,","Bowen, Robert Sidney, 1900-1977.","New York, Crown publishers 1942"
Alluring waves /,"Magazinovic, Oscar.","Pittsburgh : People's Herald Pub. Co., 1944"
Dave Dawson on convoy patrol /,"Bowen, Robert Sidney, 1900-1977.","New York : Crown Publishers, 1941"
Dave Dawson on convoy patrol /,"Bowen, Robert Sidney, 1900-1977.","New York : Crown Publishers, 1941"
Flare path.,"Claymore, Tod.","New York, W. Morrow & Co., 1942"
"One of our aircraft is missing,","Pressburger, Emeric.","[London, etc., H.M. Stationery Off., 1942"
"Johnny Kinsman, a novel.","Watson, John, 1921-","London, Cassell 1955"
Flotsam /,"Remarque, Erich Maria, 1898-1970.","London : Book Club, 1942"
"The rainbow,","Wasilewska, Wanda, 1905-1964.","Moscow, Foreign languages Pub. House, 1943"
The black beret /,"Graves, Charles, 1899-1971.","London ; New York : Hutchinson & Co., 1943"
Signed with their honour /,"Aldridge, James, 1918-","Melbourne : Wyatt & Watts,  1943-1949?"
Standard-bearers /,"Honchar, Oles, 1918-","Moscow : Foreign Languages Pub. House, 1948"
Vanishing ships /,"Fisher, Philip M.","New York : M.S. Mill Co., 1943"
The moon is down ; The long valley /,"Steinbeck, John, 1902-1968.","New York : Collier,  1942-1960?"
"Dave Dawson at Casablanca,","Bowen, Robert Sidney, 1900-1977.","New York, Crown publishers 1944"
Side-show /,"Bell, Gerard.","London : Muller, 1953"
March Anson and Scoot Bailey of the U.S. Navy;,"McClintock, Marshall, 1906-","Racine, Wis., Whitman Pub. Co. 1944"
Ann Bartlett in the South Pacific /,"Johnson, Martha, 1911-","New York : T.Y. Crowell, 1944"
Eleven were brave : a novel of present history /,"Beeding, Francis.","London : Hodder & Stoughton, 1940"
They sailed by night /,"Shead, Ann.","London : Faber, 1943"
Counterspy Jim /,"Berger, Josef, 1903-","Boston : Little, Brown, 1946"
The unconquered : Europe fights back /,"Carse, Robert, 1902-1971.","New York : National Travel Club, 1942"
There's no home.,"Baron, Alexander, 1917-1999.","London, Readers Union, J. Cape, 1951"
Sea raiders ho!,"Montgomery, Rutherford G. 1896-1985.; Wittmack, E. Franklin","Philadelphia, David McKay Co. 1945"
The Skies of Europe /,"Prokosch, Frederic, 1908-1989.","London : Chatto & Windus, 1942"
Saplings /,"Streatfeild, Noel.","London : Collins, 1945"
Down /,"Grove, Walt.; Monroe, C. E.,","New York : Dell Pub. Co., 1953"
Black Bethlehem.,"Cooper, Lettice Ulpha, 1897-","London, V. Gollancz, 1947"
Murder rides a rocket : a Ransome Dragoon-Vicky Gaines mystery /,"Diamond, Frank.","New York : Mystery House, 1946"
The survivors.,"Sommerfield, John.","[London] J. Lehmann, 1947"
Bob Berrell in North Australia : a story of adventure and peril for youths of all ages /,"Hodges, Morwell, 1896-","[Melbourne?] : Southern Moon, 1940s"
"The amazing summer,  a novel","Gibbs, Philip, 1877-1962.","London and Melbourne, Hutchinson & co., ltd. 1941"
Signed with their honour /,"Aldridge, James, 1918-","London : Michael Joseph ; Melbourne : Wyatt & Watts, 1943"
All night long : a novel of guerrilla warfare in Russia.,"Caldwell, Erskine, 1903-1987.","New York : Duell, Sloan and Pearce, 1942"
The tap on the left shoulder : a novel /,"Sicr, Ricardo.","London : Cassell and Co., Ltd., 1950"
"Buddy's victory club; or, A boy and a salvage campaign,","Garis, Howard Roger, 1873-1962.","New York, Cupples & Leon Company 1943"
"Aegean adventure,","Lodwick, John, 1916-","New York, Dodd, Mead & Co., 1946"
"Pathfinders,","Lewis, Cecil, 1898-1997.","London, P. Davies 1943"
March Anson and Scoot Bailey of the U.S. Navy;,"McClintock, Marshall, 1906-","Racine, Wis., Whitman Pub. Co. 1944"
A bell for Adano /,"Hersey, John, 1914-1993.","London : Victor Gollancz,  1945, 1944"
"God, and Dr. Bannister : this war can be stopped /","Robinson, Frank B. 1886-1948.","Moscow, Idaho : ""Psychiana, "" Inc., 1941"
A Yank in the R.A.F. /,"Hale, William Harlan.","New York : Triangle Books, 1942"
Murder a mile high /,"Dean, Elizabeth, 1901-1985.","Garden City, N.Y. : Published for the Crime Club by Doubleday, Doran, 1944"
The high courts of heaven : a story of the R.A.F. /,"Hewes, J. V. 1912-","London : P. Davies, 1942"
"Mrs. Buffey in wartime,","Ratcliffe, Dorothy Una, 1891-1967.","London, New York [etc.] T. Nelson and sons ltd 1942"
The hour before the dawn /,"Maugham, W. Somerset 1874-1965.","New York : Popular Library, 1942"
Honour the shrine : a novel /,"Clifford, Francis.","London : Cape, 1953"
Lost island /,"Hall, James Norman, 1887-1951.","New York : Editions for the Armed Services,  1945, 1944"
Lost island.,"Hall, James Norman, 1887-1951.","London, Collins, 1945"
Battle dress /,Gun Buster.,"London : Hodder & Stoughton, 1941"
Private pepper of dogs for defense /,"Cavanah, Frances.; Thorne, Diana,; Weir, Ruth Cromer,","Chicago, Ill. : A. Whitman & Co., 1945"
"Run silent, run deep /","Beach, Edward L. 1918-2002.","London : Allan Wingate, 1955"
Guerrilla /,"Dunsany, Edward John Moreton Drax Plunkett, Baron, 1878-1957.","New York : Editions for the Armed Services,  1945, 1944"
Assignment in Brittany /,"MacInnes, Helen, 1907-1985.","New York : Pocket Books,  1943, 1942"
Assignment in Brittany /,"MacInnes, Helen, 1907-1985.","Boston : Little, Brown and Co.,  1943, 1942"
Flying with the coastal patrol /,"Theiss, Lewis E. 1878-1963.","Boston : W.A. Wilde Co., 1943"
Walk on the water.,"Leveridge, Ralph, 1922-","[New York] New American Library  1952, 1951"
"Immortal sergeant,","Brophy, John, 1899-1965.","London, Collins, 1942"
Landfall : a channel story /,"Shute, Nevil, 1899-1960.","New York : Amereon House, 1940"
Tales of the south Pacific.,"Michener, James A. 1907-1997.","New York : Macmillan ; Sydney, [Australia] : Dymock's Book Arcade,  1951, 1947"
"Scottie's story : a tale of Old Scotia and its heatherland, of Louisiana and its bayous, the Mississippi Delta and its Negroes, New Guinea and its ""Fuzzie Wuzzies,"" and a chaplain's experiences with men /","Elliott, Ernest Daniel, 1918-","[Greenville, Miss.?] : E.D. Elliott, 1953"
The sky is red /,"Berto, Giuseppe.; Davidson, Angus,","[Leeds, Eng.] : Morley Books, 1948"
Strange conflict /,"Wheatley, Dennis, 1897-1977.","London ; Melbourne : Hutchinson, 1941"
The magnificent devils /,"Crockett, Lucy Herndon, 1914-","Sydney : Dymock's Book Arcade, 1954"
Cheerfulness breaks in /,"Thirkell, Angela, 1890-1961.","London : Hamilton, 1952"
Wings for Per /,"D'Aulaire, Ingri, 1904-1980.; D'Aulaire, Edgar Parin,","Garden City, N.Y. : Junior Literary Guild : Doubleday, Doran, 1949"
Eleven were brave : a novel of present history /,"Beeding, Francis.","London : Hodder & Stoughton, 1940"
"The eighth champion of Christendom; lame crusade,","Peters, Ellis, 1913-1995.","London, Toronto, W. Heinemann ltd. 1945"
The feather merchants /,"Shulman, Max, 1919-1988.","New York : Editions for the Armed Services,  1945, 1944"
The three brothers /,"Townend, W. 1881-","London ; New York : Rich and Cowan, 1955"
The Caine mutiny : a novel of World War II /,"Wouk, Herman, 1915-","Boston : Little, Brown, 1951"
The commandos : a novel /,"Arnold, Elliott, 1912-1980.","New York : Sun Dial Press, 1943"
Stronger than death : short stories of the war.,"Kurganov, Oskar Ieremeevich.","Moscow : Foreign Languages Pub. House, 1942"
Of fire and fury /,"Lynch, William.","Sydney : Consolidated, 1945"
Tombolo /,"Fersen, Nicholas.","London : R. Hart-Davis, 1954"
"Bombardier,","Gilbert, Stephen.","London, Faber and Faber ltd. 1944"
Boomerang /,"Chambliss, W. C.","New York : Editions for the Armed Services,  1945, 1944"
While still we live /,"MacInnes, Helen, 1907-1985.","New York : Fawcett Crest, 1944"
They die with their boots clean /,"Kersh, Gerald, 1911-1968.","London : William Heinemann Ltd., 1941"
Vain glory /,"Meichsner, Dieter, 1928-2010.","London : Putnam, 1953"
This was tomorrow /,"Thane, Elswyth, 1900-","Cutchogue, N.Y. : Buccaneer Books, 1951"
Miss Bunting : a novel /,"Thirkell, Angela, 1890-1961.","London : H. Hamilton, 1951"
"Men die alone,","Leigh, Michael, 1913-","London, Eyre & Spottiswoode, 1944"
"Men die alone,","Leigh, Michael, 1913-","London, Eyre & Spottiswoode, 1944"
"Soldier, sail north /","Pattinson, James, 1915-","London : Harrap, 1954"
Worrals of the islands : a story of the war in the Pacific /,"Johns, W. E. 1893-1968.","London : Hodder & Stoughton, 1945"
The train leaves at midnight /,"Solski, Waclaw.","N.Y. : Crown, 1951"
"Excuse my feet! (Being the full adventures of Herbert Simkins, of 2nd N.Z.E.F.)","Sumpter, G. Hugh.","Dunedin, N.Z., Otago Daily Times and Witness Newspapers Co. 1949"
"Immortal sergeant,","Brophy, John, 1899-1965.","London, Collins, 1942"
All night long.,"Caldwell, Erskine, 1903-1987.","New York, Book League of America, 1942"
"Heaven knows, Mr. Allison : a novel /","Shaw, Charles, 1900-1955.","London : Frederick Muller, 1952"
Tales of the South Pacific /,"Michener, James A. 1907-1997.","Garden City, N.Y. : International Collectors Library, 1947"
After my own fashion /,"Elder, Raibeart.","London : Longmans, Green, 1949"
Journey into fear /,"Ambler, Eric, 1909-1998.","New York : Pocket Books,  1943, 1940"
The bridge on the River Kwai /,"Boulle, Pierre, 1912-1994.","New York : Vanguard Press, 1954"
Night raid /,"Lhrke, Eugene, 1897-","New York : H. Holt, 1941"
Sons of the others : a novel /,"Gibbs, Philip, 1877-1962.","London : Hutchinson, 1940"
"The young guard, a novel.","Fadeev, Aleksandr, 1901-1956.","Moscow, Foreign Languages Pub. House 1951"
Hard ground.,"Corbo, Dominick R., 1911-","New York, Vantage Press 1954"
The sea chase.,"Geer, Andrew Clare.","London : Collins, 1949"
"Dave Dawson with the Flying tigers,","Bowen, Robert Sidney, 1900-1977.","New York, Crown publishers 1943"
The Caine mutiny : a novel of World War II /,"Wouk, Herman, 1915-","Garden City, N.Y. : Doubleday, 1954"
Black sea sailor /,"Solovev, Leonid Vasilevich, 1906-1962.","Moscow : Foreign Languages Pub. House, 1944"
"Bugle blast, an anthology from the services,","Aistrop, J. C. R. 1915- ed.; Moore, Reginald,","London, G. Allen & Unwin Ltd. 1943"
"It's time to say goodbye,","Moore, Isabel, active 1942-","New York, Toronto, Farrar & Rinehart, inc. 1944"
The last sortie : the story of the cauldron /,"Zand, Herbert, 1923-1970.","London : R. Hart-Davis, 1955"
Terror on the island /,"Ferguson, J. A. 1871-1952.","New York : Vanguard Press, 1942"
The soldier /,"Opitz, Karlludwig.; Opitz, Karlludwig.","London : F. Muller, 1954"
While still we live /,"MacInnes, Helen, 1907-1985.","New York : Editions for the Armed Services, 1944"
... Green hazard.,"Coles, Manning.","Phila., Blakiston Co. 1945"
"Melville Goodwin, USA /","Marquand, John P. 1893-1960.","New York : Bantam Books,  1954, 1951"
The fortress : a story of Hillton Academy /,"Haines, Donal Hamilton, 1886-1951.","New York ; Toronto : Farrar & Rinehart, 1945"
Jasna Polana /,"Wedda, Joseph.","New York : House of Field-Doubleday, Inc., 1945"
Wings over England /,"Snell, Roy J. 1878-","Chicago ; New York : Goldsmith, 1941"
Grand barrage /,Gun Buster.,"London : Hodder & Stoughton, 1944"
